country,interest,extracted_at
Trinidad & Tobago,10,2026-02-02 15:17:04.957781
Tunisia,1,2026-02-02 15:17:04.957781
Turks & Caicos Islands,18,2026-02-02 15:17:04.957781
U.S. Virgin Islands,9,2026-02-02 15:17:04.957781
United Arab Emirates,1,2026-02-02 15:17:04.957781
United Kingdom,6,2026-02-02 15:17:04.957781
United States,12,2026-02-02 15:17:04.957781
Uruguay,8,2026-02-02 15:17:04.957781
Venezuela,2,2026-02-02 15:17:04.957781
Vietnam,1,2026-02-02 15:17:04.957781
